Name,Latitude,Longitude,ZCTA5CE10,nearest_route_id,nearest_route_distance,accessibility_category
P.S. 163 Flushing Heights,40.741107,-73.808765,11365.0,QM44,0.2983874843045562,Accessible
P.S. 164 Queens Valley,40.721514,-73.823569,11367.0,QM6,0.3845671777508348,Accessible
P.S. 165 Edith K. Bergtraum,40.729746,-73.816966,11367.0,Q25,0.16814026228305887,Very accessible
P.S. 169 Bay Terrace,40.782331,-73.77843,11360.0,Q28,0.0728595689326582,Very accessible
P.S. 184 Flushing Manor,40.778334,-73.799158,11357.0,Q16,0.1978136555716787,Very accessible
J.H.S. 185 Edward Bleeker,40.774906,-73.818607,11354.0,Q34,0.1396132251648858,Very accessible
J.H.S. 189 Daniel Carter Beard,40.759963,-73.818399,11355.0,Q15,0.14885444790645866,Very accessible
P.S. 193 Alfred J. Kennedy,40.792053,-73.808987,11357.0,Q15A,0.31650048004196063,Accessible
J.H.S. 194 William Carr,40.783231,-73.80699,11357.0,Q76,0.12564727726944955,Very accessible
P.S./M.S. 200 - The Magnet School of Global Studie,40.73107,-73.805759,11365.0,Q64,0.05673448139016391,Very accessible
P.S. 201 The Discovery School for Inquiry and Rese,40.736541,-73.813011,11367.0,Q88,0.15435920572168124,Very accessible
P.S. 209 Clearview Gardens,40.783777,-73.795845,11357.0,Q16,0.09913534378757488,Very accessible
P.S. 214 Cadwallader Colden,40.770215,-73.827606,11354.0,Q20A,0.050207987944908154,Very accessible
P.S. 219 Paul Klapper,40.737448,-73.823841,11367.0,Q44+,0.14305109076492603,Very accessible
I.S. 237,40.74943,-73.821402,11355.0,Q20B,0.48978899318976726,Accessible
Veritas Academy,40.764892,-73.826811,11354.0,QM3,0.13942585251656078,Very accessible
Queens High School for Language Studies,40.764892,-73.826811,11354.0,QM3,0.13942585251656078,Very accessible
P.S. 242 Leonard P. Stavisky Early Childhood Schoo,40.769752,-73.832005,11354.0,QM20,0.10562775835008212,Very accessible
The Active Learning Elementary School,40.754483,-73.826192,11355.0,Q17,0.20660808655342416,Very accessible
I.S. 250 The Robert F. Kennedy Community Middle Sc,40.724195,-73.80938,11366.0,Q65,0.41985699052497794,Accessible
"Queens School of Inquiry, The",40.724195,-73.80938,11366.0,Q65,0.41985699052497794,Accessible
Flushing International High School,40.759963,-73.818399,11355.0,Q15,0.14885444790645866,Very accessible
East-West School of International Studies,40.74943,-73.821402,11355.0,Q20B,0.48978899318976726,Accessible
World Journalism Preparatory: A College Board Scho,40.764884,-73.789365,11358.0,Q28,0.050164463614857505,Very accessible
BELL Academy,40.782331,-73.77843,11360.0,Q28,0.0728595689326582,Very accessible
College Point Collaborative,40.785129,-73.843504,11356.0,Q20B,0.1160228541387225,Very accessible
